Website,Section,Relevant Sentences,Classification from Model,,,
GitLab,"We may share each of the categories of personal information we collect with the types of third parties described below, for the following business purposes:

Sharing with Users and the Public: We may share your personal information with other users of the Services and with the public if you choose to make your SaaS Profile public. You have control over what information is public. To change your settings, go to User Settings in your profile. You should also be aware that any information you share as part of a project, blog, website etc. may be publicly available and you should consider this carefully when interacting with the Services.

Sharing with Managed Accounts and Administrators: If you have created a GitLab account with your corporate email address, we may share your personal information with your Company if your Company enters into a commercial relationship with GitLab. If this happens, then your use of the software and your account is subject to the terms and any data protection agreement between your Company and GitLab.

In addition, if you choose to become a member of a project, your username, email address, IP address, the date when access was granted, the date when access expires, and your access role will be shared with the group owners of that project.

Sharing with Service Providers: We share your personal information with our service providers. These are companies who provide services on our behalf, such as hosting our Services, marketing, advertising, social, analytics, support ticketing, credit card processing, security and other such similar services. These companies are subject to contractual requirements that govern the security and confidentiality of your information.

For example, we use analytics providers, such as Google Analytics, to help us understand the operation and performance of our Services. To learn about how Google uses and shares data it collects through its services, please visit https://www.google.com/policies/privacy/partners/.

Sharing with Partners and Resellers: GitLab works with third parties who provide sales, consulting, support and technical services for our Services. Where permitted and with your consent (if required), we may share your data with these partners and resellers.

Sharing with Affiliated Companies: GitLab will share information collected with companies owned and operated by us.

Sharing for Fraud and Prevention Abuse: We may share your information when we have a good faith belief that the disclosure is necessary to prevent fraud, abuse of our services, defend against attacks, and to protect the safety of GitLab and our users.

Law Enforcement: GitLab may disclose personal information or other information we collect about you to law enforcement if required in response to a valid subpoena, court order, search warrant, a similar government order, or when we believe in good faith that disclosure is necessary to comply with our legal obligations, to protect our property or rights, or those of third parties or the public at large.

Merger or Acquisition: We may share your personal information if we are involved in a merger, sale, or acquisition of corporate entities or business units. If any such change of ownership happens, we will ensure that it is under terms that preserve the confidentiality of your personal information, and we will notify you on our website or by email before any transfer of your personal information.
... GitLab does not sell your personal information, as defined under CCPA, and has not done so for the past 12 months.","GitLab does not sell your personal information, as defined under CCPA, and has not done so for the past 12 months.",,,,
MasterClass,"MasterClass will share your information in the following ways:

Affiliates and Subsidiaries. We may share information we collect within the Yanka Industries family of companies to deliver products and services to you, ensure a consistent level of service, and enhance our products, services, and your customer experience.

Service Providers. We provide access to or share your information with select third parties who perform services on our behalf. They have access to perform these services but are prohibited from using your information for other purposes. They provide a variety of services to us, including billing, sales, marketing, product content and features, advertising, analytics, research, customer service, data storage, security, fraud prevention, payment processing, and legal services.

Protection of MasterClass and Others. By using the Services, you acknowledge and agree that we may access, retain and disclose the information we collect and maintain about you if required to do so by law or in a good faith belief that such access, retention or disclosure is reasonably necessary to: (a) comply with legal process (e.g. a subpoena or court order); (b) enforce our Terms of Service, this Privacy Policy, or other contracts with you, including investigation of potential violations thereof; (c) respond to claims that any content violates the rights of third parties; (d) respond to your requests for customer service; and/or (e) protect the rights, property or personal safety of MasterClass, its agents and affiliates, its users and/or the public. This includes exchanging information with other companies and organizations for fraud protection, and spam/malware prevention, and similar purposes.

Business Transfers. As we continue to develop our business, we may buy, merge, or partner with other companies. In such transactions (including in contemplation of such transactions), user information may be among the transferred assets. If a portion or all of our assets are sold or transferred to a third-party, customer information (including your email address) would likely be one of the transferred business assets. If such transfer is subject to additional mandatory restrictions under applicable laws, we will comply with such restrictions.

Public Forums. Certain features of our Services make it possible for you to share comments publicly with other users. Any information that you submit through such features is not confidential, and we may use it for any purpose (including in testimonials or other marketing materials). Any information you post openly in these ways will be available to the public at large and potentially accessible through third-party search engines. Accordingly, please take care when using these features.

Aggregate/Anonymous Information. From time to time, we may share Aggregate/Anonymous Information about use of the Services, such as by publishing a report on usage trends. The sharing of such data is unrestricted. ... MasterClass allows some of our advertising partners to collect certain pieces of information from our site visitors, such as device identifiers, cookies, advertising IDs, IP addresses, and usage activity, so that we and our partners can deliver ads that are more relevant to you. This type of information sharing with our advertising partners may be considered a ""sale"" under the CCPA. ","MasterClass allows some of our advertising partners to collect certain pieces of information from our site visitors, such as device identifiers, cookies, advertising IDs, IP addresses, and usage activity, so that we and our partners can deliver ads that are more relevant to you. This type of information sharing with our advertising partners may be considered a ""sale"" under the CCPA. ",,,,
Medable,"When you have provided Personal Data to us for a particular purpose, we may disclose your information to other companies that we have engaged to assist us in fulfilling your request. This may include, but is not limited to fulfillment houses, billing services, transaction managers, credit verification services, and other third-party service providers. We may also disclose any of your Personal Data to law enforcement or other appropriate third parties in connection with criminal investigations, investigation of fraud, infringement of intellectual property rights, or other suspected illegal activities, or as otherwise may be required by applicable law, or, as we deem necessary in our sole discretion, in order to protect the legitimate legal and business interests of Company.



We sometimes share general, demographic, or aggregated (non-identifiable) information with third parties about our user base, but that information does not include any Personal Data.



Your Personal Data may also be disclosed if Company assigns all of its rights and obligations regarding the use of your Personal Data at the time of a bankruptcy, merger, acquisition, sale of all or substantially all of Company’s assets to a subsequent owner or operator, or similar event.



To the extent we collect any aggregated anonymous information, we may share that information and information derived from the aggregated anonymous information with our business partners. ... Medable does not sell consumer data for monetary or other valuable consideration.",Medable does not sell consumer data for monetary or other valuable consideration.,,,,
Guild Education,"In addition to the specific situations discussed elsewhere in this Privacy Policy, Guild may share your Personal Information in the following circumstances: 

Service Providers. We may from time to time engage service providers to perform functions on our behalf such as supporting our Services, conducting our business, processing payment transactions, managing our marketing communications, recruitment and/or admissions process, tracking student enrollment and student performance, or otherwise providing the Services to you. We may share your Personal Information with such service providers, so long as those parties agree to keep your Personal Information confidential.
Behavioral-Based Advertising. We participate in behavioral-based advertising. This means that a third party may use technology (e.g., a cookie) to collect information about your use of our Website so that we can provide advertising about goods and services tailored to your interest. For example, we use third party providers to serve ads or collect data on our behalf across the Internet and sometimes on this Website. Some of these third-party providers may collect Personal Information about your visits to our Website, and your interaction with devices and Services to tailor marketing messages on this Website and other sites or to trigger real-time interaction, customize this Website or enhance your profile. Some of these third-party providers may be able to collect Personal Information that you share with this Website via a web form automatically and prior to your pressing a submit button; and they may be able to use Personal Information from your visits to this Website to send marketing messages to you in a way that may personally identify you. This information is collected using a cookie, a javascript tag, or pixel, or cross-device identification methods. The Personal Information collected by these third-party providers may include your device’s IP address, user agent, email addresses (where hashed or otherwise rendered pseudonymous) and other user and device-level pseudonymous information. Please keep in mind that your browser settings may not permit you to control the technologies utilized by these third-party companies.
Partnering Educational Institutions and Partnering Employers. When you apply to a Program offered by one of our partnering educational institutions, we may transfer your Personal Information to such partnering institution in connection with providing Programs and Services to you, including to facilitate the application, admissions and enrollment process, apply for academic credit for you, track your participation in Programs, or fulfill our contracted responsibilities to a partnering institutions or partnering employer. We may also transfer Personal Information to a partnering employer in connection with providing Programs and Services to you, including to assess benefits eligibility, facilitate the enrollment process, to provide information on your academic achievements and progress, enable you to receive tuition assistance and reimbursement, direct your application to a partnering employer, and facilitate your application to a job opportunity.
Related Companies and M&A Transactions. We may share your Personal Information with companies that are affiliated with us (that is, that control, are controlled by, or are under common control with us). We reserve the right to disclose and transfer your Personal Information in connection with the sale of all or a part of our business, a corporate merger or other restructuring. 
Legal Compliance. We may also disclose your Personal Information, usage information and device identifier (such as IP address) to third parties to comply with a legal obligation, to respond to a valid government or law enforcement request such as a warrant or subpoena, to enforce our Services-related agreements or other applicable policies, to respond to an emergency, or to protect the rights, property, safety or security of third parties, Users of our Services or the public.
Social Networking. The Services may offer you the ability to share your Personal Information through a social networking site (e.g., Facebook, Twitter), using such site’s integrated tools (e.g., Facebook “Like” button, or Twitter “Tweet” button). The use of such integrated tools enables you to share Personal Information about yourself with other individuals or the public, depending on the settings that you have established with such social networking site. For more information about the purpose and scope of data collection and use in connection with such social networking site or a site’s integrated tools, please visit the privacy policies of the entities that provide these social networking sites.
Public Forum and Messaging. The Services may provide you with the opportunity to post comments, messages, or reviews in a public forum. If you decide to submit Personal Information at these locations, that information will be available to other Users of the Services.
Referrals. Users may recommend other Users by providing their contact information or selecting friends from a social networking site.
Consent. We may ask if you would like us to share your Personal Information with other unaffiliated third parties who are not described elsewhere in this Privacy Policy, and we may do so with your consent. ... If you are 16 years of age or older, you have the right to direct us to not sell your Personal Information at any time. ","If you are 16 years of age or older, you have the right to direct us to not sell your Personal Information at any time. ",,,,
Overtime,"We ask you for certain kinds of personal information in order to provide you with the services you request and to process and deliver your order. We also may use your personal information to provide you with customized communications and keep you updated on the latest promotions or products that may interest you.

In addition, our site utilizes 'cookies.' Cookies do not gather any of your personally identifiable information. They do allow us to provide you with a more personalized shopping experience and enable you to fully interact with and complete your transaction on our site.

We may partner with companies to display ads on third-party sites. The partners' applications may use cookies and other code to measure the effectiveness of our ads and to determine the display of ads to you based on your interests both on our site, as well as third party sites you may visit. The information collected is always anonymous, and does not enable any third party to identify you individually","We ask you for certain kinds of personal information in order to provide you with the services you request and to process and deliver your order. We also may use your personal information to provide you with customized communications and keep you updated on the latest promotions or products that may interest you.

In addition, our site utilizes 'cookies.' Cookies do not gather any of your personally identifiable information. They do allow us to provide you with a more personalized shopping experience and enable you to fully interact with and complete your transaction on our site.

We may partner with companies to display ads on third-party sites. The partners' applications may use cookies and other code to measure the effectiveness of our ads and to determine the display of ads to you based on your interests both on our site, as well as third party sites you may visit. The information collected is always anonymous, and does not enable any third party to identify you individually",,,,
Drift,"We may disclose your personal information for a business purpose to the third parties, including service providers (as defined under the CCPA), our affiliates (to the extent applicable), and third parties to whom you or your agents authorize us to disclose your personal information in connection with the Drift products and services we provide you. When we disclose personal information for a business purpose, we enter a contract that describes the purpose and requires the recipient to not use it for any purpose except performance of the contract and, if confidential, maintain its confidentiality. In the preceding twelve (12) months, Drift has disclosed the categories of Personal Information for a business purpose as provided in the table above.

SELLING INFORMATION

Drift does not sell any Personal Information or any other data collected or created by its customers in their use of the Drift platform, services, application or otherwise.

Drift may sell your Personal Information only to the extent that Drift has collected your personal information for its own purposes (not by, in or through the provision of its Services to a Drift Customer). In the preceding twelve (12) months, Drift may have sold, as defined in the CCPA, the following categories of data: Identifiers (#1); Personal information categories under the California Customer Records statute (Cal. Civ. Code § 1798.80(e)) (#2); Geolocation data (#7); and Professional or employment-related information (#9).

FOR AVOIDANCE OF DOUBT, DRIFT DOES NOT SELL THE INFORMATION THAT ITS CUSTOMERS OR USERS COLLECT, GENERATE OR STORE THROUGH THEIR USE OF THE DRIFT PLATFORM AND/OR SERVICES. DRIFT DOES NOT USE OR PROCESS SUCH INFORMATION FOR ITS OWN PURPOSES. ANY PROCESSING OR SHARING OF PERSONAL INFORMATION COLLECTED BY OR BELONGING TO CUSTOMER IS FOR THE PURPOSE OF PERFORMING THE SERVICES ONLY. SUCH INFORMATION IS AT ALL TIMES THE PROPERTY OF THE CUSTOMER AND DRIFT DOES NOT SELL IT.","In the preceding twelve (12) months, Drift may have sold, as defined in the CCPA, the following categories of data: Identifiers (#1); Personal information categories under the California Customer Records statute (Cal. Civ. Code § 1798.80(e)) (#2); Geolocation data (#7); and Professional or employment-related information (#9).",,,,
Ritual,"We may share your data for the following legitimate purposes:

Service Providers

We employ third-party service providers (e.g. back-end data analysis, data security monitoring and assessment, customer support services, payment processors, etc.) and individuals in Canada, the United States or other countries such as Singapore, the Philippines and in each of the locations where Ritual is present, to facilitate or provide certain services on our behalf, such as to process payments, provide user support, provide geo-location information to our restaurants, to host our job application form, to perform Website-related services (e.g., without limitation, maintenance services, database management, web analytics and improvement of the Website's features) or to assist us in analyzing how our Service is used.

These third parties have access to your personal information only to perform these tasks on our behalf and are contractually bound not to disclose or use it for any other purpose. 

Affiliates and Partners

Users accessing the App through a partner app such as those associated with a building in which they work or live, may have their Transaction Data shared with that third party.

Sale of Business

We may transfer any information we have about you as an asset in connection with a proposed or completed merger or sale (including transfers made as part of insolvency or bankruptcy proceedings) involving all or part of Ritual or as part of a corporate reorganization or other change in corporate control. 

Legal Requests

Ritual, our businesses around the world, and other service providers may provide your personal information in response to a search warrant or other legally valid inquiry or order, or to an organization in the case of a breach of an agreement or contravention of law, or as otherwise required or permitted by applicable Canadian, US, English or other applicable law. 

Ritual may also disclose your personal information to the extent that this is legally required or necessary for the establishment, exercise or defence of legal claims and legal process; to investigate or prevent actual or suspect loss or harm to persons or property; to detect, prevent or suppress fraud; or in the event of an emergency pertaining to your health and/or safety; or to our auditors, legal advisors and other professional advisors.","We may share your data for the following legitimate purposes:

Service Providers

We employ third-party service providers (e.g. back-end data analysis, data security monitoring and assessment, customer support services, payment processors, etc.) and individuals in Canada, the United States or other countries such as Singapore, the Philippines and in each of the locations where Ritual is present, to facilitate or provide certain services on our behalf, such as to process payments, provide user support, provide geo-location information to our restaurants, to host our job application form, to perform Website-related services (e.g., without limitation, maintenance services, database management, web analytics and improvement of the Website's features) or to assist us in analyzing how our Service is used.

These third parties have access to your personal information only to perform these tasks on our behalf and are contractually bound not to disclose or use it for any other purpose. 

Affiliates and Partners

Users accessing the App through a partner app such as those associated with a building in which they work or live, may have their Transaction Data shared with that third party.

Sale of Business

We may transfer any information we have about you as an asset in connection with a proposed or completed merger or sale (including transfers made as part of insolvency or bankruptcy proceedings) involving all or part of Ritual or as part of a corporate reorganization or other change in corporate control. 

Legal Requests

Ritual, our businesses around the world, and other service providers may provide your personal information in response to a search warrant or other legally valid inquiry or order, or to an organization in the case of a breach of an agreement or contravention of law, or as otherwise required or permitted by applicable Canadian, US, English or other applicable law. 

Ritual may also disclose your personal information to the extent that this is legally required or necessary for the establishment, exercise or defence of legal claims and legal process; to investigate or prevent actual or suspect loss or harm to persons or property; to detect, prevent or suppress fraud; or in the event of an emergency pertaining to your health and/or safety; or to our auditors, legal advisors and other professional advisors.",,,,
Ro,"We may share your information for our business purposes in the following ways:

Affiliates and Subsidiaries. We may share information we collect within any Ro member or group (i.e., our subsidiaries and affiliates, including our ultimate holding company and its subsidiaries) to deliver products and services to you, ensure a consistent level of service across our products and services, and enhance our products, services, and your customer experience.
Health Care Providers and Services. We share your information with health care providers: (i) to schedule and fulfill appointments and provide health care services as part of the Services, (ii) to whom you send messages through our Services, and (iii) for other treatment, payment or health care operations purposes, including pharmacy services, upon your request.
Service Providers. We provide access to or share your information with select third parties who use the information to perform services on our behalf. They provide a variety of services to us, including billing, sales, marketing, advertising, analytics, research, customer service, shipping and fulfillment, data storage, IT and security, fraud prevention, payment processing, and auditing and legal services. These entities may also include health care organizations, pharmacies, and other third parties we use to support our business or in connection with the administration and support of the Services.
Advertising Networks. Please see the “Online Advertising” section above for details about how we share information with advertising partners.
Protection of Ro and Others. By using the Services, you acknowledge and agree that we may access, retain and disclose the information we collect and maintain about you if required to do so by law or in a good faith belief that such access, retention or disclosure is reasonably necessary to: (a) comply with legal process (e.g. a subpoena or court order); (b) enforce our Terms of Use, this Privacy Policy, or other contracts with you, including investigation of potential violations thereof; (c) respond to claims that any content violates the rights of third parties; (d) respond to your requests for customer service; and/or (e) protect the rights, property or personal safety of Ro, its agents and affiliates, its users and/or the public. This includes exchanging information with other companies and organizations for fraud protection, and spam/malware prevention, and similar purposes.
Business Transfers. As we continue to develop our business, we may buy, merge, or partner with other companies. In such transactions, (including in contemplation of such transactions) user information may be among the transferred assets. If a portion or all of our assets are sold or transferred to a third-party, customer information (including your email address) would likely be one of the transferred business assets. If such transfer is subject to additional mandatory restrictions under applicable laws, we will comply with such restrictions.
Public Forums. Certain features of our Services make it possible for you to share comments publicly with other users. Any information that you submit through such features is not confidential, and we may use it for any purpose (including in testimonials or other marketing materials). For example, if you submit a product review on one of our sites, we may display your review (along with the name provided, if any) on other Ro websites and on third-party websites. Any information you post openly in these ways will be available to the public at large and potentially accessible through third-party search engines. Accordingly, please take care when using these features.
Consent. We may also disclose your information in other ways you direct us to and when we have your consent.
Aggregate/De-Identified Information. We reserve the right to create Aggregate/De-Identified Data from the information we collect through the Services and our sharing of such Aggregate/De-Identified Data is in our discretion. ... The CCPA requires companies that “sell” (as defined in the CCPA) your personal information to provide you with notice and an opportunity to opt out. If you began using the Services prior to October 14th, 2021, Ro has not sold (and will not sell) information collected prior to that date that identifies you such as your name, email address, phone number, or postal address. Like many companies with an internet presence, we do work with third parties that provide marketing and advertising services to us, including interest-based advertising services, and these third parties may place tags, pixels, cookies, beacons, and other similar tracking mechanisms on our Website and App and collect your online identifiers. Because of the CCPA’s broad definitions of “sale” and “personal information,” making certain online identifiers available to these companies so that they can provide marketing and advertising services to Ro may be considered a “sale” under the CCPA . To opt out of sharing your information with participating third parties for interest-based advertising, please visit the Network Advertising Initiative’s Consumer Opt-Out link, the Digital Advertising Alliance’s Consumer Opt-Out link, or Your Online Choices. Please note that these opt-outs are device and browser based, so you will need to opt out on each of your devices and browsers. For more information, see the Online Analytics and Advertising Section above.

If you began using the Services after our Privacy Policy was updated on October 14th, 2021, as discussed above in the “Online Advertising” section, we may also share information such as your email address with third-party advertising networks that use such information to better target advertising to you regarding Ro products and services, as well as other products and services, as you browse the internet. This sharing may be considered a “sale” under the CCPA. To opt out of the sale of your information under the CCPA as a California resident, please click here.","Because of the CCPA’s broad definitions of “sale” and “personal information,” making certain online identifiers available to these companies so that they can provide marketing and advertising services to Ro may be considered a “sale” under the CCPA .",,,,
BlockFi,"We may collect and use your Personal Information, as required or permitted by applicable law, to:

Provision our services and products in order to meet our contractual obligations to you;

Conduct background checks for Know Your Customer (KYC) reviews and Anti-Money Laundering (AML) watchlists; 

Send you notices and confirmations regarding your money/cryptocurrency transfers to and from BlockFi; 

Send you confirmations and other information regarding your account transactions;

Create your account statements, maintain records of your transactions, and provide support to your account generally;

Deliver content about our services and products, and send promotional and other information to you; and

Conduct analysis regarding your usage of our services and products and the effectiveness of our marketing initiatives.

We will not use your Personal Information for purposes other than those purposes we have disclosed to you without your permission. If we need to use your Personal Information for an unrelated, new, or additional purpose, we will notify you and obtain your consent to use it for such unrelated, new, or additional purpose. ... You have the right to opt-out of the sale of your Personal Information. However, since we do not sell your Personal Information, there is no need for you to exercise this right.","You have the right to opt-out of the sale of your Personal Information. However, since we do not sell your Personal Information, there is no need for you to exercise this right.",,,,
Scale AI,"We may share your personal information as described below, but we don’t sell it to advertisers or other third parties.

If your User account was provisioned by a Customer, your administrator (“Admin”) may have access and control over the information associated with your account. The Customer may have its own policies governing access and use of information in your User account.

Depending on a Customer’s settings and your choices, we will share certain information with other Users that are part of a Customer account.

Scale uses certain trusted third-party service providers to help us provide, improve, protect, and promote our Services. These third parties may have access to your personal information to perform services on our behalf but only as is reasonably necessary for the purpose that Scale has engaged them for and in compliance with this Privacy Policy. Some of the third parties that Scale may share your personal information with include providers who assist Scale with functions such as: billing; customer support; hosting and storage; analytics; and marketing services.

You or your Admin may provide a third-party service (e.g., a single sign-on service) with access to your information. The use of such information by a third-party service will be governed by the third-party service’s privacy policy.

We may share your information with Scale’s affiliates and business partners to provide, improve, protect, and promote the Services, or communicate with you.

We may sell, transfer or otherwise share information in connection with a merger, acquisition, reorganization, or sale of assets, or in the event of bankruptcy.

We may disclose your information to third parties if we determine such disclosure is reasonably necessary to: (a) comply with applicable law, regulation, legal process, or government request, (b) protect any person from death or serious bodily injury, (c) prevent fraud, abuse, or security issue of Scale or other users, and (d) to protect Scale’s or its licensors’ rights, property, safety, or interest.

We may also disclose or share your personal information where you have given us your consent to do so for a specific purpose. ... We do not and will not sell your personal information. We may provide third parties with certain personal information to provide or improve our products and services, for example to deliver products or services at your request.","We do not and will not sell your personal information. We may provide third parties with certain personal information to provide or improve our products and services, for example to deliver products or services at your request.",,,,
Outdoor Voices,"We share personal information in the following circumstances or as otherwise described in this Privacy Policy:

With vendors, consultants and other service providers who need access to such information to carry out work on our behalf, such as companies that assist us with web hosting, shipping and delivery, payment processing, fraud prevention, marketing and advertising, analytics and customer service;
With third parties for their own services and marketing purposes, unless you opt out of this type of sharing by contacting us at hello@outdoorvoices.com;
In response to a request for information if we believe disclosure is in accordance with, or required by, any applicable law, regulation or legal process;
If we believe your actions are inconsistent with our user agreements or policies, or to protect the rights, property and safety of Outdoor Voices or others;
With our lawyers and other professional advisors where necessary to obtain advice or otherwise protect and manage our business interests;
In connection with, or during negotiations of, any merger, sale of company assets, financing or acquisition of all or a portion of our business by another company;
Between and among Outdoor Voices and our current and future parents, affiliates, subsidiaries and other companies under common control and ownership; and
With your consent or at your direction, such as when you submit a product review or post content in public areas of our Services.
We also share aggregated or de-identified information, which cannot reasonably be used to identify you. ... Outdoor Voices does not sell your personal information. We do allow our advertising partners to collect certain device identifiers and electronic network activity via our Services to show ads that are targeted to your interests. To opt out of having your personal information used for targeted advertising purposes, please see the Advertising and Analytics Services Provided by Others section above.","Outdoor Voices does not sell your personal information. We do allow our advertising partners to collect certain device identifiers and electronic network activity via our Services to show ads that are targeted to your interests. To opt out of having your personal information used for targeted advertising purposes, please see the Advertising and Analytics Services Provided by Others section above.",,,,
Hinge Health,"We will not disclose any personal information about any of our users to any third-party (excluding our vendors or contractors to whom we may provide such information for the limited purpose of providing services to us and who are obligated to keep the information confidential), unless: (1) you have authorized us to do so; (2) we are legally required to do so, for example, in response to a subpoena, court order or other legal process and/or, (3) it is necessary to protect our property rights related to this website. We also may share aggregate, non-personal information about website usage with unaffiliated third parties, or via scientific research papers regarding our Services. This aggregate information does not contain any personal information about our users.  ... Hinge Health does not sell your Personal Information.    ",Hinge Health does not sell your Personal Information.    ,,,,
Nuro,"Nuro may share the information it collects about you in the following circumstances:

● Within Nuro and our current and future parents, affiliates, subsidiaries and other companies under common control and ownership

● With our trusted services providers who work on our behalf

● With our retail partners

● With your consent, including if you intentionally interact with third-parties on our site

● In connection with the sale, transfer or financing of a significant part of Nuro business or its assets, including any such activities associated with a bankruptcy proceeding

● When we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud or respond to a law enforcement request

● As required by law, such as in conjunction with a subpoena, government inquiry, litigation, dispute resolution or similar legal process ... California residents also have a right to opt out of the sale of their personal information by a business, however Nuro does not sell personal information.","California residents also have a right to opt out of the sale of their personal information by a business, however Nuro does not sell personal information.",,,,
