Website,Classification,Section,Relevant Sentences,
Fidelity,No Sale ,"We do not share personal information about you with unaffiliated third parties for their use in marketing their products and services (except in those circumstances where you have directed or authorized us to share your information with a particular third party). In addition, we do not sell personal information about you and have not done so at any time during the 12-month period preceding the date of this Supplement. As required by the CCPA, we disclose that we do not sell personal information of minors under 16 years of age.",Fidelity does not share or sell personal information about our customers with unaffiliated third parties for use in marketing their products and services.,
Craigslist,No Sale ,"Below is a list of all the types of data we have collected in the last 12 months, where we got it, why we collected it and the categories of third parties to whom we disclosed it. We do not sell your data to third parties. Please note that disclosure to ""Payment processors"" applies when you pay for a craigslist post using a credit card.",We do not sell your data to third parties.,
Aliexpress,Unspecified,"During the preceding 12 months, we have collected, used, and/or disclosed the categories of personal information described in Section A of our Privacy Policy. For example, depending on the services you use, this may include your identifiers (e.g., IP addresses and email addresses), commercial information, and internet or other electronic network activity information. This may also include inferences we draw from the other information we collect.

We share personal information in the ways described in our Privacy Policy, including by allowing third parties that provide us analytics and advertising services to collect information through cookies and other similar technologies.  We do not treat this as a sale of personal information for purposes of state law, although you do have the choices that we describe to you in this Privacy Policy.","During the preceding 12 months, we have collected, used, and/or disclosed the categories of personal information described in Section A of our Privacy Policy. For example, depending on the services you use, this may include your identifiers (e.g., IP addresses and email addresses), commercial information, and internet or other electronic network activity information. This may also include inferences we draw from the other information we collect.

We share personal information in the ways described in our Privacy Policy, including by allowing third parties that provide us analytics and advertising services to collect information through cookies and other similar technologies.  We do not treat this as a sale of personal information for purposes of state law, although you do have the choices that we describe to you in this Privacy Policy.",
Hulu,Sale,"Right to Opt Out of “Sale”. Hulu may disclose certain information about you if you are a registered user of the Hulu services for purposes that may be considered a “sale” under the CCPA. For example, we may disclose information to advertising partners, advertising technology companies, and companies that perform advertising-related services in order to provide you with more relevant advertising tailored to your interests on the Hulu services. This information may include identifiers such as your IP address, advertising identifiers, your email address (in a de-identified or hashed form), age and gender, your internet or other electronic network information such as your interaction with an ad, and geolocation data. We may also disclose to our content programmers information about you, which may help personalize your experience and the content and ads you see on Hulu as well as other platforms and services, as further described in our Privacy Policy. To learn more, including about your opt-out choices, please click here.","Right to Opt Out of “Sale”. Hulu may disclose certain information about you if you are a registered user of the Hulu services for purposes that may be considered a “sale” under the CCPA. For example, we may disclose information to advertising partners, advertising technology companies, and companies that perform advertising-related services in order to provide you with more relevant advertising tailored to your interests on the Hulu services. This information may include identifiers such as your IP address, advertising identifiers, your email address (in a de-identified or hashed form), age and gender, your internet or other electronic network information such as your interaction with an ad, and geolocation data. We may also disclose to our content programmers information about you, which may help personalize your experience and the content and ads you see on Hulu as well as other platforms and services, as further described in our Privacy Policy. To learn more, including about your opt-out choices, please click here.",
IMDB,No Sale ,"No sale of personal information. In the twelve months prior to the effective date of this Disclosure, IMDb has not sold any personal information of consumers, as those terms are defined under the California Consumer Privacy Act.","No sale of personal information. In the twelve months prior to the effective date of this Disclosure, IMDb has not sold any personal information of consumers, as those terms are defined under the California Consumer Privacy Act. Information about our users is an important part of our business, and we are not in the business of selling our users' personal information to others.",
Amazon AWS,No Sale ,"Information about our customers is an important part of our business and we are not in the business of selling our customers’ personal information to others. In the preceding twelve months, we have not sold any personal information of consumers, as those terms are defined under the California Consumer Privacy Act.","Information about our customers is an important part of our business and we are not in the business of selling our customers’ personal information to others. In the preceding twelve months, we have not sold any personal information of consumers, as those terms are defined under the California Consumer Privacy Act.",
Google,Unspecified,"We do not sell your Personal Data. However, we may connect you with advertisers based on your viewing activity","We do not sell your Personal Data. However, we may connect you with advertisers based on your viewing activity",
Youtube,Unspecified,"We do not sell your Personal Data. However, we may connect you with advertisers based on your viewing activity","We do not sell your Personal Data. However, we may connect you with advertisers based on your viewing activity",
Amazon,Sale,"We share personal information in the ways described in our Privacy Policy, including by allowing third parties that provide us analytics and advertising services to collect information through cookies and other similar technologies","We share personal information in the ways described in our Privacy Policy, including by allowing third parties that provide us analytics and advertising services to collect information through cookies and other similar technologies",
Ameritrade,Unspecified,"In accordance with California law, we will not share information we collect about you with nonaffiliates, except as allowed by law. For example, we may share information with your consent or to service your accounts. Among our affiliates, we will limit information sharing to the extent required by California law. We do not sell personal information.

Because we are a financial institution subject to other federal privacy laws, the California Consumer Protection Act does not apply to our clients' personal information.","We do not sell personal information... Because we are a financial institution subject to other federal privacy laws, the California Consumer Protection Act does not apply to our clients' personal information",Conflicting statements. Unclear what parts of CCPA don't apply
Cnbc,Sale,"We may work with advertisers and third-party advertising networks, who may receive information about how you interact with advertising provided in the online service. We may also work with consumer data resellers that buy and/or sell information to other companies for multiple purposes including offering products and services that may interest you. These third parties may view, edit or set their own tracking technologies/cookies. The use of these technologies by these third parties is subject to their own privacy policies and is not covered by this Privacy Policy. They might also obtain information about other applications that you have downloaded to your mobile device, the mobile websites you visit and other information about you or your device in order to analyze and serve anonymous targeted advertising on the online services and elsewhere. For information about your choices relating to these activities, see Cookies and Tracking Technologies.",We may also work with consumer data resellers that buy and/or sell information to other companies for multiple purposes including offering products and services that may interest you.,
ADP,Sale,Right to Opt-Out of Sale of Personal Data – We do not sell nor share Personal Data to third parties for direct marketing purposes without consent. ADP does not knowingly sell Personal Data of minor under 16 years of age.,Right to Opt-Out of Sale of Personal Data – We do not sell nor share Personal Data to third parties for direct marketing purposes without consent. ADP does not knowingly sell Personal Data of minor under 16 years of age.,No sale only if you opt out
Fedex,No Sale ,"We do not ""sell"" your Personal Information, as this term is defined under California law. Given the divergent practices of organizations that offer browsers and the lack of a standard in the marketplace, we do not respond to Do Not Track signals at this time.","We do not ""sell"" your Personal Information, as this term is defined under California law.",
Patch,Sale,"Patch does not “sell” Personal Information that on its own identifies you - such as your name or email address – without your permission. As discussed in the Privacy Policy, Patch does disclose or share other types of identifiers to our partners, advertisers and service providers, for use in providing their services, advertising purposes, or for improving and maintaining the quality and performance of the Patch Service. The CCPA includes a very broad definition of “sale,” and under that definition some of such disclosures or sharing may be deemed to be a sale. Depending on how you use the Service and the permissions you have given Patch, Patch may “sell” the following categories of information (as defined in the CCPA) to third parties: identifiers; contact information; internet or electronic network activity information; geolocation information; commercial information; inferences, including advertising and content related inferences; and professional or employment related information.","The CCPA includes a very broad definition of “sale,” and under that definition some of such disclosures or sharing may be deemed to be a sale. Depending on how you use the Service and the permissions you have given Patch, Patch may “sell” the following categories of information (as defined in the CCPA) to third parties: identifiers; contact information; internet or electronic network activity information; geolocation information; commercial information; inferences, including advertising and content related inferences; and professional or employment related information.",
Xfinity,Sale,"Residents of the State of California also have the right to request information regarding third parties to whom the company has disclosed certain categories of personal information during the preceding year for the third parties’ direct marketing purposes under California’s “Shine the Light” law (Cal. Civ. Code §1798.83). Personal information under this California law means “any information that when it was disclosed identified, described, or was able to be associated with an individual.” We do not disclose this type of personal information to third parties for their own purposes and we permit you to opt out of any disclosures of non-identifiable personal information.",we permit you to opt out of any disclosures of non-identifiable personal information,No sale only if you opt out
Healthline,Sale,"When we process information on our own behalf, you may object to our use of your Personal Information by contacting us at the address described below. For example, California residents may be entitled to object, or opt-out, of having their information sold to third parties. If you are a California resident and would like to opt-out of having your information sold, then please visit the following link: Do Not Sell My Personal Information. We do not discriminate against California consumers who exercise any of their rights described in this Policy.  ","If you are a California resident and would like to opt-out of having your information sold, then please visit the following link: Do Not Sell My Personal Information",No sale only if you opt out
Soundcloud,Sale,"For purposes of CCPA, the disclosure of personal information to our advertising partners to provide you with personalized ads may constitute a “sale” in some instances. The personal information disclosed is limited to the following:

IP address and device ID

Age and gender you provide

General location information

Inferred music preferences based on your use of the Platform

We do not otherwise “sell” personal information. We do not knowingly sell the personal information of individuals under the age of 16.","For purposes of CCPA, the disclosure of personal information to our advertising partners to provide you with personalized ads may constitute a “sale” in some instances.",
Wayfair,Unspecified,"This privacy policy describes the categories of personal information we collect from you, the methods and business purposes of collecting such personal information, the categories of third parties with whom we may share it, and the rights you have regarding the personal information. California residents have the right to request that Wayfair disclose what personal information it collects, uses, discloses or sells. Wayfair does not sell your personal information to third parties without your prior consent. California residents also have the right to request the deletion of their personal information collected or maintained by Wayfair. If you wish to make a request for information or to delete your account, or for any questions about our privacy practices and compliance with California law, please contact us here or via email at DataProtectionOfficer@wayfair.com. You can also designate an authorized agent to make a request on your behalf. Prior to responding to your request, we will verify your identity by matching any requested identifying information you provide against the information we have about you. We will not subject you to discriminatory treatment as a result of your choice to exercise your privacy rights.",Wayfair does not sell your personal information to third parties without your prior consent,Consent required for sale. But when do they ask + when they ask if it made clear?
Business Insider,Sale,"Insider does not generally sell information as the term “sell” is traditionally understood. However, to the extent “sale” under the CCPA is interpreted to include advertising technology activities such as those disclosed in the “Analytics and Advertising Technology” section as a “sale,” we will comply with applicable law as to such activity. Insider discloses the following categories of personal information for commercial purposes: identifiers, demographic information, commercial information, internet activity, geolocation data and inferences. Please review the “Information Sharing and Disclosure” section for more detail about the parties with whom we have shared personal information in the past 12 months... To the extent Insider sells your personal information as the term “sell” is defined under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information by us to third parties at any time. You may submit a request to opt-out by clicking the “CA Do Not Sell My Info” link in the footer of our Websites, through our online form available at our privacy policy form or email us at privacy@insider-inc.com.","However, to the extent “sale” under the CCPA is interpreted to include advertising technology activities such as those disclosed in the “Analytics and Advertising Technology” section as a “sale,” we will comply with applicable law as to such activity. Insider discloses the following categories of personal information for commercial purposes: identifiers, demographic information, commercial information, internet activity, geolocation data and inferences.",
BBC,No Sale ,We'll never sell your personal information... The main rule is we will never sell your personal information to anyone.,We'll never sell your personal information... The main rule is we will never sell your personal information to anyone.,
Vimeo,Sale,"You have the right to opt out of the sale of your personal information, and to request information about whether we have sold your personal information in the past 12 months. When you use our services, we may share your personal information with advertising partners in a way that may constitute a sale under the CCPA. You may opt out via the link provided on the relevant page or app. If we do not provide an opt-out mechanism, it is because we do not believe in good faith that your personal information is being sold. "," When you use our services, we may share your personal information with advertising partners in a way that may constitute a sale under the CCPA.",
Pinterest,No Sale ,We do not sell the Personal Information of our users.,We do not sell the Personal Information of our users.,
Stack Exchange,No Sale ,"Stack Overflow will not sell your personal information to enhance our marketing opportunities or profitability (except as may relate to a corporate event such as a sale or merger), and as we are committed to preventing spam, our direct marketing efforts are limited in scope and frequency",Stack Overflow will not sell your personal information to enhance our marketing opportunities or profitability,
Investopedia,Unspecified,"We do not knowingly “sell” personal information that we collect from you, in accordance with the definition of “sell” in the CCPA, and will treat personal information we collect from you as subject to a do not sell request. There is not yet a consensus as to whether third-party cookies and tracking devices associated with our websites and mobile apps may constitute a “sale” of your PI as defined by the CCPA.","We do not knowingly “sell” personal information that we collect from you, in accordance with the definition of “sell” in the CCPA",Unspecified b/c their definition of sale could counter with what CCPA enforcers consider sale
Cnet,Unspecified,"California residents may be entitled to object, or opt-out, of having their Personal Information sold to third parties. If you are a California resident and would like to opt-out of having your information sold, please visit the following link: Do Not Sell My Personal Information. We do not discriminate against California consumers who exercise any of their rights described in this policy.  ","California residents may be entitled to object, or opt-out, of having their Personal Information sold to third parties.",Unspecified b/c there's also a chart detailing to whom they sell personal information but all of the chart entries say None
Yelp,Unspecified,"Yelp does not sell your personal information and will not do so in the future without providing you with notice and an opportunity to opt-out of such sale as required by law. Similarly, we do not offer financial incentives associated with our collection, use, or disclosure of your personal information.",Yelp does not sell your personal information and will not do so in the future without providing you with notice and an opportunity to opt-out of such sale as required by law.,Unspecified b/c the language is confusing. They say they don't sell but then also say they won't sell w/o notice & opporunity to opt out
Airbnb,No Sale ,"We do not sell personal information to third parties. We do allow third parties to collect personal information through the Airbnb Platform and share personal information with third parties for the business purposes described in the Privacy Policy, including without limitation advertising and marketing on the Airbnb Platform and elsewhere based on users’ online activities over time and across Airbnb, services, and devices.",We do not sell personal information to third parties,
Imgur,No Sale ,"We’re pleased to report that we don’t collect any “personal information” about anyone – and thus not about you either. All the information we collect, as described in our privacy policy, is de-identified so it doesn’t qualify as “personal information.” We haven’t disclosed or sold any personal information to any third parties. The only exceptions, also described in our privacy policy, are on occasion when we have an event such as a contest or Secret Santa, in which case disclosure to us of your personal information is always voluntary, and of course we make the necessary disclosures and explanations regarding what we collect and how we use it and protect it separately, as part of the particular event.

Our site is not directed at children under age 16, and we certainly would not sell or disclose the personal information of anyone we know is under age 16, even if we had it, without affirmative authorization as required by the CCPA and the regulations.",We haven’t disclosed or sold any personal information to any third parties.,
USPS,No Sale ,We do not sell or rent your personal information to outside parties.,We do not sell or rent your personal information to outside parties.,
Ca.gov,No Sale ,"Government Code § 11015.5 prohibits all state agencies from distributing or selling any electronically collected personal information, as defined above, about users to any third party without the permission of the user. The Department does not sell any “electronically collected personal information.” Any distribution of “electronically collected personal information” will be solely for the purposes for which it was provided to us.",The Department does not sell any “electronically collected personal information.”,
Spotify,No Sale ,"We do not sell personal information. We have taken substantial steps to identify and remediate any data sharing arrangements that could constitute a ""sale"" under the CCPA.

While we do not sell any personal information, we do provide Usage Data to advertising partners to enable us to provide you with interest-based advertising. If you prefer not to receive interest-based advertising, please opt out by going to your account privacy settings and using the tailored ads opt out toggle. For more information on interest-based advertising, please see our Privacy Policy and Cookies Policy.

We will continue to update our business practices as regulatory guidance becomes available and provides clarity on what constitutes a sale transaction, particularly in the advertising ecosystem.",We do not sell personal information. ,
Heavy,Unspecified,"We explicitly ask you when we need information that personally identifies you (“Personal Information”). For example, HEAVY asks you for your name and e-mail address if you wish to join our mailing list, and we also may request that you provide Personal Information as part of a contest, promotion, program, or service.  We use your Personal Information for various purposes consistent with US and International law. We may also collect certain non-personally identifiable information when you visit our sites, such as the type of browser you are using, the operating system you are using, and the domain name of your internet service provider. We may use this non-personally identifiable information to improve our site and to enable us to personalize your experience on HEAVY. We may also use this information in the aggregate to analyze the HEAVY site usage, as well as to offer you products, programs, or services. HEAVY does not knowingly collect personal information from children under the age of thirteen (13).",,
MSN,Sale,"`Additionally, we use third-party companies to collect non-personally identifiable information (e.g., the pages you visit, and which links you click, which ads you see and click on, and the categories of search terms you enter) when you visit one of our websites. Some of these third-party companies collect information when serving ads on our sites, while others collect information without showing ads on our sites. These companies may use the information outlined above (which does not include your name, address, email address or telephone number) about your visits to our sites in order to provide advertisements about goods and services of interest to you. These companies often use a cookie or third party web beacon to collect this information. If you would like more information about this practice and to know your choices about not having this information used by these companies, click here. In addition to collecting cookies, TEN may distribute, sell, and/or transfer such cookies to third parties with whom TEN has a commercial relationship. ","In addition to collecting cookies, TEN may distribute, sell, and/or transfer such cookies to third parties with whom TEN has a commercial relationship. ",
Home Depot,Sale,"Right to Opt-out of Sales: We do not share your information with third parties in exchange for money. We do share your information with third parties to enhance your experiences with us, to improve our ability to serve you, and to keep you aware of our products, services, and offers. California law may treat some such disclosures as sales, and consumers have a right to direct us not to sell their personal information.","We do share your information with third parties to enhance your experiences with us, to improve our ability to serve you, and to keep you aware of our products, services, and offers. California law may treat some such disclosures as sales, and consumers have a right to direct us not to sell their personal information.",
PayPal,No Sale ,"How and why we share personal data
 

We do not sell your personal data. However, we may share personal data across our services and with other members of the PayPal corporate family. Sometimes we share the personal data we collect with third parties to help us provide services, protect our customers from risk and fraud, market our products, and comply with legal obligations.",We do not sell your personal data.,
,,"During the 12-month period prior to the effective date of this Addendum, we may have:

a. Collected the following categories of personal information about you:

Identifiers: identifiers such as a real name, alias, postal address, unique personal identifier (such as customer number, unique pseudonym, or user alias), email address, account name, Social Security number, driver’s license number, passport number, and other similar identifiers, physical characteristics or description, state identification card number, and signature
Identifiers (Online): a device identifier; cookies, beacons, pixel tags, mobile ad identifiers and similar technology; other forms of persistent or probabilistic identifiers, and Internet Protocol address
Other Financial, Medical, and Health Information: bank account number, credit card number, debit card number, insurance policy number, and other financial information, medical information, and health insurance information
Information Related to Characteristics Protected Under California or Federal Law: characteristics of protected classifications under California or federal law, such as race, color, national origin, religion, age, sex, gender, gender identity, gender expression, sexual orientation, marital status, medical condition, ancestry, genetic information, disability, citizenship status, and military and veteran status
Commercial Information: including records of personal property, products or services purchased, obtained, or considered, and other purchasing or consuming histories or tendencies
Biometrics: biometric information
Internet and Other Electronic Network Activity Information: including, but not limited to, browsing history, search history, and information regarding your interaction with websites, applications or advertisements
Geolocation Data
Sensory Information: Audio, electronic, visual, thermal, and similar information
Professional or Employment-Related Information
Education Information
Profile Inferences: inferences drawn from any of the information identified above to create a profile about you reflecting your preferences, characteristics, psychological trends, predispositions, behavior, attitudes, intelligence, abilities, and aptitudes
b. Collected personal information about you for the following business or commercial purposes:

Performing services you have purchased from or contracted for with us, including maintaining or servicing accounts (e.g., your My Best Buy account), as well as providing customer service, processing or fulfilling orders and transactions, verifying customer information, processing payments, providing advertising or marketing services, providing analytics services, or providing similar services
Auditing related to a current interaction with you and concurrent transactions, including, but not limited to, counting ad impressions to unique visitors, verifying positioning and quality of ad impressions, and auditing compliance
Short-term, transient use, including, but not limited to, the contextual customization of ads shown as part of the same interaction
Detecting and responding to security incidents, protecting against and responding to malicious, deceptive, fraudulent, or illegal activity, and prosecuting those responsible for that activity
Debugging to identify and repair errors that impair existing intended functionality
Undertaking internal research for technological development and demonstration
Undertaking activities to verify or maintain the quality or safety of a service or device that is owned, manufactured, manufactured for, or controlled by us, and to improve, upgrade, or enhance the service or device that is owned, manufactured, manufactured for, or controlled by us
Customizing your experience on our digital properties
Processing liability claims
Complying with and enforcing applicable legal requirements, relevant industry standards and our policies
c. Shared your personal information with the following categories of third parties:

Our affiliates
Our joint marketing partners
Our business partners
Social media networks
Third-party marketing partners
Government entities, including law enforcement
d. Sold (as defined under California law) the following categories of personal information:

Identifiers (online) associated with a device used to interact with our digital properties or advertisements (such as a device identifier; cookies, beacons, pixel tags, mobile ad identifiers and similar technology)
Internet and other electronic network activity information associated with a device used to interact with Digital Properties or advertisements We do not sell the personal information of consumers under the age of 16 if we have actual knowledge of the individual’s age.

We do not sell personal information as the term is traditionally understood, versus the definition under the CCPA — for example, we do not exchange for money personal information to data brokers or third parties for their marketing purposes independent of us.","Sold (as defined under California law) the following categories of personal information:

Identifiers (online) associated with a device used to interact with our digital properties or advertisements (such as a device identifier; cookies, beacons, pixel tags, mobile ad identifiers and similar technology)
Internet and other electronic network activity information associated with a device used to interact with Digital Properties or advertisements We do not sell personal information as the term is traditionally understood, versus the definition under the CCPA",
Fox News,Sale,"This Section 8 provides details about the categories of Personal Information of California residents that we have collected, disclosed, or ""sold"" during the last 12 months, as well as rights California residents have under California law.

Categories of Personal Information Collected, Disclosed, and/or Sold:

The categories of Personal Information that we collected, disclosed, and/or ""sold"" are below, along with the categories of third parties to whom each category of Personal Information was disclosed, and/or sold. Please note that we disclose some categories of Personal Information in connection with certain types of advertisements, which could be considered a ""sale"" under the CCPA. Also, depending on the California resident’s interactions with us, Fox News may not have collected, disclosed, or sold each of these categories about each individual. Additionally, we do not knowingly ""sell"" Personal Information of minors under 16 years of age.

We have collected, disclosed, and/or ""sold"" to third parties the following categories of Personal Information: Categories of Third Parties to Whom Personal Information is ""Sold"" Advertising providers","Categories of Third Parties to Whom Personal Information is ""Sold"" We have collected, disclosed, and/or ""sold"" to third parties the following categories of Personal Information:",
Weather,Sale,"The CCPA defines the terms “sell” and “sale” broadly to include the sharing of Personal Information with third parties for something of value, even if no money is exchanged. We do not sell users’ Personal Information as the term “sell” is commonly understood. However, we do allow advertising vendors to use your Personal Information for certain purposes other than providing and improving advertising services for our apps and websites (described in Section 3.D of our Privacy Policy), which is considered a sale under CCPA. This is the only way that we sell Personal Information under the CCPA, and we do not engage in any other sales of Personal Information under the CCPA.

In the past twelve months, we have sold the following categories of Personal Information as defined by the CCPA to our Advertising Vendors:
 
Identifiers such as an online identifier or IP address;
Commercial information relating to your use of the Services;
Internet or other electronic network activity information relating to your use of the Services;
Geolocation data; and
Inferences.","However, we do allow advertising vendors to use your Personal Information for certain purposes other than providing and improving advertising services for our apps and websites (described in Section 3.D of our Privacy Policy), which is considered a sale under CCPA. In the past twelve months, we have sold the following categories of Personal Information as defined by the CCPA to our Advertising Vendors:
 
Identifiers such as an online identifier or IP address;
Commercial information relating to your use of the Services;
Internet or other electronic network activity information relating to your use of the Services;
Geolocation data; and
Inferences.",
Fandom,Sale,"Opt out of the sale of your personal information to third parties. Under the CCPA, some information we share may be considered a “sale.” ","Under the CCPA, some information we share may be considered a “sale.” ",
DuckDuckGo,No Sale,"However, in our case, we don't expect any because there is nothing useful to give them since we don't collect any personal information. DuckDuckGo does not collect or share personal information. That is our privacy policy in a nutshell. The rest of this page tries to explain why you should care. We don't collect or share personal information.",DuckDuckGo does not collect or share personal information. We don't collect or share personal information.,
IRS,No Sale,We do not sell the information collected at this site or any other information we collect.,We do not sell the information collected at this site or any other information we collect.,
Tiktok,No Sale,"We are committed to maintaining your trust, and while TikTok does not sell personal information to third parties, we want you to understand when and with whom we may share the information we collect for business purposes.","We are committed to maintaining your trust, and while TikTok does not sell personal information to third parties, we want you to understand when and with whom we may share the information we collect for business purposes.",
